Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,-474749.102254781,1,54000,43200
3600,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,-474958.862254781,1,57600,32400
7200,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,-475127.802254781,1,57600,50400
10800,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,-475321.442254781,1,61200,25200
14400,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,-475507.102254781,1,64800,36000
18000,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,-400660.54704817,1,64800,36000
21600,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,166823.022906983,1,54000,46800
25200,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,591075.215193484,1,64800,46800
28800,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,604324.956240317,1,NaN,NaN
32400,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,378259.826763733,1,NaN,NaN
36000,1,1,1,1,1,-0,0,-245985.302315014,-0,1,1,201125.559160427,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,236339.007546469,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,210303.805827094,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,178809.187297067,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,152302.3114304,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,175855.234367038,1,NaN,NaN
57600,1,1,1,1,1,-0,0,-136651.615826991,-0.000117401712486753,1,1,215452.829537148,1,NaN,NaN
61200,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,201354.261033705,1,NaN,NaN
64800,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,-59355.0014283344,1,NaN,NaN
68400,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,66026.931904999,1,NaN,NaN
72000,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,-47451.3003815032,1,NaN,NaN
75600,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,-227692.50704817,1,NaN,NaN
79200,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,-296216.013714837,1,NaN,NaN
82800,1,1,1,1,1,97656.25,0,121571.057388792,-0,1,1,-416774.101318142,1,NaN,NaN
