Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,66377.1038221422,0,278902.371486765,-0,1,1,-340430.654624648,1,64800,25200
3600,1,1,1,1,1,76842.1043125028,0,278902.371486765,-0,1,1,-340963.594624648,1,50400,28800
7200,1,1,1,1,1,76523.9003367782,0,278902.371486765,-0,1,1,-341245.054624648,1,50400,50400
10800,1,1,1,1,1,86456.4793125028,0,278902.371486765,-0,1,1,-341376.074624648,1,54000,50400
14400,1,1,1,1,1,96186.7128367782,0,278902.371486765,-0,1,1,-341504.014624648,1,61200,39600
18000,1,1,1,1,1,183034.41520348,0,278902.371486765,-0,1,1,-250967.319418036,1,64800,25200
21600,1,1,1,1,1,226110.822686709,0,278902.371486765,-0,1,1,299898.050537117,1,61200,28800
25200,1,1,1,1,1,312500,0,278902.371486765,-0,1,1,722185.842823617,1,57600,32400
28800,1,1,1,1,1,312500,0,278902.371486765,-0,1,1,734446.18387045,1,NaN,NaN
32400,1,1,1,1,1,-0,0,276680.613887267,-0,1,1,444885.054393867,1,NaN,NaN
36000,1,1,1,1,1,-0,0,-83091.5523150145,-0,1,1,311608.96679056,1,NaN,NaN
39600,1,1,1,1,1,-225616.006180644,0,-312500,-0,1,1,239370.275176602,1,NaN,NaN
43200,1,1,1,1,1,-225616.006180644,0,-312500,-0,1,1,183790.233457227,1,NaN,NaN
46800,1,1,1,1,1,-225616.006180644,0,-312500,-0,1,1,-57700.4122727999,1,NaN,NaN
50400,1,1,1,1,1,-225616.006180644,0,-312500,-0,1,1,-202929.078939467,1,NaN,NaN
54000,1,1,1,1,1,-225616.006180644,0,-312500,-0,1,1,-179358.258002828,1,NaN,NaN
57600,1,1,1,1,1,-225616.006180644,0,-312500,-0.00440305526717566,1,1,-138057.878547065,1,NaN,NaN
61200,1,1,1,1,1,-0,0,-58696.8991553512,-0,1,1,-143131.591336162,1,NaN,NaN
64800,1,1,1,1,1,-0,0,128894.881244706,-0,1,1,-184341.393798201,1,NaN,NaN
68400,1,1,1,1,1,-0,0,-291901.533907923,-0,1,1,207042.879535132,1,NaN,NaN
72000,1,1,1,1,1,-0,0,208873.279747249,-0,1,1,93298.6272486302,1,NaN,NaN
75600,1,1,1,1,1,-27563.330764561,0,-312500,-0,1,1,-106787.959418037,1,NaN,NaN
79200,1,1,1,1,1,-22083.6188842407,0,-312500,-0,1,1,-252280.106084703,1,NaN,NaN
82800,1,1,1,1,1,-0,0,-102857.894400102,-0,1,1,-371336.073688009,1,NaN,NaN
