Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,148580.189503264,0,168115.592867252,-0,1,1,-389098.950864473,1,64800,43200
3600,1,1,1,1,1,148580.189503264,0,168115.592867252,-0,1,1,-390412.550864473,1,54000,28800
7200,1,1,1,1,1,148580.189503264,0,168115.592867252,-0,1,1,-391264.550864473,1,61200,25200
10800,1,1,1,1,1,148580.189503264,0,168115.592867252,-0,1,1,-391815.150864473,1,64800,36000
14400,1,1,1,1,1,148580.189503264,0,168115.592867252,-0,1,1,-392510.150864473,1,68400,50400
18000,1,1,1,1,1,148580.189503264,0,168115.592867252,-0,1,1,-366895.575657862,1,68400,32400
21600,1,1,1,1,1,148580.189503264,0,168115.592867252,-0,1,1,151050.994297291,1,61200,39600
25200,1,1,1,1,1,148580.189503264,0,168115.592867252,-0,1,1,574865.986583792,1,50400,28800
28800,1,1,1,1,1,148580.189503264,0,168115.592867252,-0,1,1,588380.527630625,1,NaN,NaN
32400,1,1,1,1,1,-0,0,-253495.948612733,-0,1,1,314212.566154042,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-0,1,1,195541.830550735,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,208827.138936777,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0.000354091554982006,1,1,148492.777571493,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,172753.231487375,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,127841.064820708,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,153148.485757347,1,NaN,NaN
57600,1,1,1,1,1,-0,0,-41342.2408269914,-0,1,1,205811.100810055,1,NaN,NaN
61200,1,1,1,1,1,-0,0,31978.1008446488,-0,1,1,208218.452424013,1,NaN,NaN
64800,1,1,1,1,1,-0,0,-47642.6187552942,-0,1,1,-58064.6500380262,1,NaN,NaN
68400,1,1,1,1,1,148580.189503264,0,168115.592867252,-0,1,1,65268.5232953072,1,NaN,NaN
72000,1,1,1,1,1,148580.189503264,0,168115.592867252,-0,1,1,-47074.308991195,1,NaN,NaN
75600,1,1,1,1,1,148580.189503264,0,168115.592867252,-0,1,1,-241981.115657862,1,NaN,NaN
79200,1,1,1,1,1,148580.189503264,0,168115.592867252,-0,1,1,-386467.582324528,1,NaN,NaN
82800,1,1,1,1,1,35495.2627326461,0,168115.592867252,-0,1,1,-506755.289927834,1,NaN,NaN
