Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,156250,0,152103.841799544,-0,1,1,-434943.931439376,1,50400,25200
3600,1,1,1,1,1,156250,0,152103.841799544,-0,1,1,-436687.331439376,1,68400,36000
7200,1,1,1,1,1,156250,0,152103.841799544,-0,1,1,-438452.531439376,1,54000,39600
10800,1,1,1,1,1,156250,0,152103.841799544,-0,1,1,-440469.331439376,1,50400,36000
14400,1,1,1,1,1,156250,0,152103.841799544,-0,1,1,-441904.731439376,1,57600,43200
18000,1,1,1,1,1,156250,0,152103.841799544,-0,1,1,-416574.156232764,1,54000,43200
21600,1,1,1,1,1,156250,0,152103.841799544,-0,1,1,102187.813722389,1,57600,32400
25200,1,1,1,1,1,156250,0,152103.841799544,-0,1,1,526945.80600889,1,57600,36000
28800,1,1,1,1,1,156250,0,152103.841799544,-0,1,1,541315.747055722,1,NaN,NaN
32400,1,1,1,1,1,-0,0,20146.2388872673,-0,1,1,349950.017579139,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-8.11654729204747e-05,1,1,142099.568056998,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,253583.838361874,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,208845.396642499,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,209131.550912473,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,182371.884245806,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,199288.105182444,1,NaN,NaN
57600,1,1,1,1,1,-312500,0,-312500,-0,1,1,252093.480235153,1,NaN,NaN
61200,1,1,1,1,1,-0,0,37899.9758446488,-0,1,1,231608.171849111,1,NaN,NaN
64800,1,1,1,1,1,156250,0,152103.841799544,-0,1,1,-38592.4306129286,1,NaN,NaN
68400,1,1,1,1,1,156250,0,152103.841799544,-0,1,1,86516.9027204048,1,NaN,NaN
72000,1,1,1,1,1,156250,0,152103.841799544,-0,1,1,-25013.8895660974,1,NaN,NaN
75600,1,1,1,1,1,156250,0,152103.841799544,-0,1,1,-220704.356232764,1,NaN,NaN
79200,1,1,1,1,1,156250,0,152103.841799544,-0,1,1,-366259.822899431,1,NaN,NaN
82800,1,1,1,1,1,156250,0,152103.841799544,-0,1,1,-487615.310502736,1,NaN,NaN
