Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,175953.914948599,0,216714.622860309,-0,1,1,-368102.441947172,1,64800,39600
3600,1,1,1,1,1,171612.665438959,0,216714.622860309,-0,1,1,-368550.901947172,1,68400,50400
7200,1,1,1,1,1,177064.773963235,0,216714.622860309,-0,1,1,-368876.601947172,1,50400,25200
10800,1,1,1,1,1,175666.102938959,0,216714.622860309,-0,1,1,-369037.301947172,1,57600,36000
14400,1,1,1,1,1,159085.398963235,0,216714.622860309,-0,1,1,-369179.021947172,1,54000,25200
18000,1,1,1,1,1,212072.163829936,0,216714.622860309,-0,1,1,-279810.686740561,1,64800,50400
21600,1,1,1,1,1,229161.071313165,0,216714.622860309,-0,1,1,270476.683214592,1,57600,25200
25200,1,1,1,1,1,254527.6597483,0,216714.622860309,-0,1,1,694636.475501093,1,68400,46800
28800,1,1,1,1,1,289128.168130061,0,216714.622860309,-0,1,1,707891.616547925,1,NaN,NaN
32400,1,1,1,1,1,89955.0535269586,0,216714.622860309,-0,1,1,418190.147071342,1,NaN,NaN
36000,1,1,1,1,1,-0,0,-178911.864815014,-0,1,1,285478.799468036,1,NaN,NaN
39600,1,1,1,1,1,-81054.4626514054,0,-312500,-0,1,1,224959.107854078,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,218691.466134703,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,61494.4204046756,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,-221454.246261991,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0.00480654762941413,1,1,-199547.420518805,1,NaN,NaN
57600,1,1,1,1,1,-241346.928326991,0,-312500,-0,1,1,-152981.050272644,1,NaN,NaN
61200,1,1,1,1,1,-0,0,121820.288344649,-0,1,1,-50786.758658686,1,NaN,NaN
64800,1,1,1,1,1,78972.4458843971,0,216714.622860309,-0,1,1,56003.1788792745,1,NaN,NaN
68400,1,1,1,1,1,-0,0,140328.153592077,-0,1,1,179463.112212608,1,NaN,NaN
72000,1,1,1,1,1,-0,0,-49745.4702527507,-0,1,1,61112.6199261057,1,NaN,NaN
75600,1,1,1,1,1,-0,0,-19739.893264561,-0,1,1,-135826.866740561,1,NaN,NaN
79200,1,1,1,1,1,-0,0,-259178.931384241,-0,1,1,-278991.653407228,1,NaN,NaN
82800,1,1,1,1,1,-0,0,-310151.644400102,-0,1,1,-398607.661010533,1,NaN,NaN
