Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,142007.196089253,0,151945.979901939,-0,1,1,-431376.306077029,1,57600,50400
3600,1,1,1,1,1,142007.196089253,0,151945.979901939,-0,1,1,-432509.906077028,1,68400,50400
7200,1,1,1,1,1,142007.196089253,0,151945.979901939,-0,1,1,-433777.506077029,1,54000,25200
10800,1,1,1,1,1,142007.196089253,0,151945.979901939,-0,1,1,-435146.906077028,1,64800,43200
14400,1,1,1,1,1,142007.196089253,0,151945.979901939,-0,1,1,-436858.706077029,1,61200,32400
18000,1,1,1,1,1,142007.196089253,0,151945.979901939,-0,1,1,-411674.530870417,1,61200,36000
21600,1,1,1,1,1,142007.196089253,0,151945.979901939,-0,1,1,106636.039084736,1,64800,39600
25200,1,1,1,1,1,142007.196089253,0,151945.979901939,-0,1,1,529943.231371237,1,61200,50400
28800,1,1,1,1,1,142007.196089253,0,151945.979901939,-0,1,1,544570.972418069,1,NaN,NaN
32400,1,1,1,1,1,-0,0,-91689.6986127327,-0,1,1,354428.042941486,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-0,1,1,240184.35533818,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,259147.063724222,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,200382.622004846,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,162443.97627482,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,179431.309608153,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,146629.518744791,1,NaN,NaN
57600,1,1,1,1,1,-169834.428326991,0,-312500,-3.94270559809229e-05,1,1,190840.423636927,1,NaN,NaN
61200,1,1,1,1,1,56733.6834427101,0,151945.979901939,-0,1,1,235605.197211458,1,NaN,NaN
64800,1,1,1,1,1,142007.196089253,0,151945.979901939,-0,1,1,-33304.2052505816,1,NaN,NaN
68400,1,1,1,1,1,142007.196089253,0,151945.979901939,-0,1,1,91434.1280827518,1,NaN,NaN
72000,1,1,1,1,1,142007.196089253,0,151945.979901939,-0,1,1,-21153.6642037504,1,NaN,NaN
75600,1,1,1,1,1,142007.196089253,0,151945.979901939,-0,1,1,-217508.130870417,1,NaN,NaN
79200,1,1,1,1,1,142007.196089253,0,151945.979901939,-0,1,1,-362565.197537084,1,NaN,NaN
82800,1,1,1,1,1,142007.196089253,0,151945.979901939,-0,1,1,-482979.885140389,1,NaN,NaN
