Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,77965.8830216847,0,246468.279787223,-0,1,1,-47798.635253385,1,61200,28800
3600,1,1,1,1,1,82462.1335120453,0,246468.279787223,-0,1,1,-46973.415253385,1,50400,36000
7200,1,1,1,1,1,83079.8670363207,0,246468.279787223,-0,1,1,-46818.575253385,1,64800,36000
10800,1,1,1,1,1,70534.3210120453,0,246468.279787223,-0,1,1,-47293.855253385,1,61200,39600
14400,1,1,1,1,1,67400.4920363207,0,246468.279787223,-0,1,1,-47651.335253385,1,68400,50400
18000,1,1,1,1,1,158596.631903022,0,246468.279787223,-0,1,1,-21455.0200467735,1,68400,46800
21600,1,1,1,1,1,206218.351886251,0,246468.279787223,-0,1,1,497638.86990838,1,68400,50400
25200,1,1,1,1,1,285241.190321386,0,246468.279787223,-0,1,1,918943.64219488,1,57600,28800
28800,1,1,1,1,1,195190.136203146,0,246468.279787223,-0,1,1,920313.203241713,1,NaN,NaN
32400,1,1,1,1,1,-0,0,-115295.948612733,-0,1,1,649982.91376513,1,NaN,NaN
36000,1,1,1,1,1,-206847.788242158,0,-312500,-0,1,1,517579.826161823,1,NaN,NaN
39600,1,1,1,1,1,-206847.788242158,0,-312500,-0,1,1,-587204.865452135,1,NaN,NaN
43200,1,1,1,1,1,-206847.788242158,0,-312500,-0,1,1,-746383.90717151,1,NaN,NaN
46800,1,1,1,1,1,-206847.788242158,0,-312500,-0.0124747151276097,1,1,-791565.740426822,1,NaN,NaN
50400,1,1,1,1,1,-206847.788242158,0,-312500,-0,1,1,-141042.419568204,1,NaN,NaN
54000,1,1,1,1,1,-206847.788242158,0,-312500,-0,1,1,97198.4013684347,1,NaN,NaN
57600,1,1,1,1,1,-206847.788242158,0,-312500,-0,1,1,-607847.223578857,1,NaN,NaN
61200,1,1,1,1,1,-206847.788242158,0,-312500,-0,1,1,-654756.931964899,1,NaN,NaN
64800,1,1,1,1,1,-206847.788242158,0,-312500,-0,1,1,-209494.734426938,1,NaN,NaN
68400,1,1,1,1,1,-0,0,-29823.4089079225,-0,1,1,3296.59890639527,1,NaN,NaN
72000,1,1,1,1,1,111540.937460026,0,246468.279787223,-0,1,1,163503.006619893,1,NaN,NaN
75600,1,1,1,1,1,180366.826948216,0,246468.279787223,-0,1,1,195189.499953226,1,NaN,NaN
79200,1,1,1,1,1,255594.976328536,0,246468.279787223,-0,1,1,47515.5332865598,1,NaN,NaN
82800,1,1,1,1,1,252842.575812676,0,246468.279787223,-0,1,1,-77548.334316746,1,NaN,NaN
