Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,137574.763022712,0,137196.604919154,-0,1,1,-407754.329440726,1,57600,43200
3600,1,1,1,1,1,137574.763022712,0,137196.604919154,-0,1,1,-407862.529440726,1,64800,43200
7200,1,1,1,1,1,137574.763022712,0,137196.604919154,-0,1,1,-408120.529440726,1,64800,43200
10800,1,1,1,1,1,137574.763022712,0,137196.604919154,-0,1,1,-408609.129440726,1,68400,25200
14400,1,1,1,1,1,137574.763022712,0,137196.604919154,-0,1,1,-408936.529440726,1,61200,25200
18000,1,1,1,1,1,137574.763022712,0,137196.604919154,-0,1,1,-382548.754234114,1,54000,32400
21600,1,1,1,1,1,137574.763022712,0,137196.604919154,-0,1,1,136352.415721039,1,50400,39600
25200,1,1,1,1,1,137574.763022712,0,137196.604919154,-0,1,1,560178.00800754,1,61200,43200
28800,1,1,1,1,1,137574.763022712,0,137196.604919154,-0,1,1,574259.149054372,1,NaN,NaN
32400,1,1,1,1,1,-0,0,129550.926387267,-0,1,1,319555.223577789,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-0,1,1,196312.051974482,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,216029.320360524,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,182012.602641149,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,182776.720911122,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,156125.322244455,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,177437.847181094,1,NaN,NaN
57600,1,1,1,1,1,-127670.365826991,0,-312500,-0.000210628728382289,1,1,211648.442444431,1,NaN,NaN
61200,1,1,1,1,1,76623.6834254946,0,137196.604919154,-0,1,1,202548.533847761,1,NaN,NaN
64800,1,1,1,1,1,137574.763022712,0,137196.604919154,-0,1,1,-51880.548614279,1,NaN,NaN
68400,1,1,1,1,1,137574.763022712,0,137196.604919154,-0,1,1,72042.6047190544,1,NaN,NaN
72000,1,1,1,1,1,137574.763022712,0,137196.604919154,-0,1,1,-43378.2275674478,1,NaN,NaN
75600,1,1,1,1,1,137574.763022712,0,137196.604919154,-0,1,1,-238769.874234114,1,NaN,NaN
79200,1,1,1,1,1,137574.763022712,0,137196.604919154,-0,1,1,-382254.360900781,1,NaN,NaN
82800,1,1,1,1,1,137574.763022712,0,137196.604919154,-0,1,1,-502081.268504087,1,NaN,NaN
