Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,-361787.942118429,1,68400,43200
3600,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,-361126.662118429,1,57600,25200
7200,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,-361270.142118429,1,64800,32400
10800,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,-361878.342118429,1,50400,39600
14400,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,-362228.842118429,1,57600,50400
18000,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,-335982.606911818,1,68400,50400
21600,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,183145.383043335,1,64800,28800
25200,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,699095.435329836,1,68400,50400
28800,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,713862.976376669,1,NaN,NaN
32400,1,1,1,1,1,-0,0,-43052.1986127327,-0,1,1,425247.086900085,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-0,1,1,290703.759296779,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,224180.067682821,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,175936.625963446,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,-48058.0197665812,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,-216970.686433248,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0.00727353445836343,1,1,-193065.858223075,1,NaN,NaN
57600,1,1,1,1,1,-0,0,-148748.490826991,-0,1,1,-144671.490443901,1,NaN,NaN
61200,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,136926.001170057,1,NaN,NaN
64800,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,61923.0387080177,1,NaN,NaN
68400,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,184226.252041351,1,NaN,NaN
72000,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,66981.6197548489,1,NaN,NaN
75600,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,-128513.206911818,1,NaN,NaN
79200,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,-271726.033578484,1,NaN,NaN
82800,1,1,1,1,1,125000,0,137786.712642992,-0,1,1,-391684.78118179,1,NaN,NaN
