Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,-359120.885766597,1,61200,50400
3600,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,-359592.005766597,1,64800,32400
7200,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,-359736.265766597,1,68400,46800
10800,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,-359840.585766597,1,50400,46800
14400,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,-359970.085766597,1,61200,36000
18000,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,-303664.250559985,1,57600,39600
21600,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,275743.919395168,1,50400,25200
25200,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,701592.711681669,1,57600,25200
28800,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,717317.052728501,1,NaN,NaN
32400,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,426915.143251918,1,NaN,NaN
36000,1,1,1,1,1,-0,0,-21894.6773150145,-0,1,1,293414.635648611,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,226130.544034653,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,177862.302315278,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,-44741.9434147488,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,-215500.610081416,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0.00614492606837302,1,1,-190811.782999851,1,NaN,NaN
57600,1,1,1,1,1,-0,0,-305968.803326991,-0,1,1,-144785.414092069,1,NaN,NaN
61200,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,-35149.1224781104,1,NaN,NaN
64800,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,65586.7150598501,1,NaN,NaN
68400,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,189009.548393184,1,NaN,NaN
72000,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,70455.6761066813,1,NaN,NaN
75600,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,-126489.470559985,1,NaN,NaN
79200,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,-269597.157226652,1,NaN,NaN
82800,1,1,1,1,1,97656.25,0,118147.717526881,-0,1,1,-389178.104829958,1,NaN,NaN
