Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,-358901.062392527,1,64800,39600
3600,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,-359377.982392527,1,50400,32400
7200,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,-359713.682392527,1,68400,43200
10800,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,-359848.062392527,1,64800,28800
14400,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,-310988.462392527,1,57600,43200
18000,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,-236296.487185915,1,57600,28800
21600,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,281556.882769238,1,57600,32400
25200,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,704405.675055738,1,54000,43200
28800,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,717409.816102571,1,NaN,NaN
32400,1,1,1,1,1,-0,0,95141.5513872673,-0,1,1,428117.706625988,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-0,1,1,296523.799022681,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,252528.307408723,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,240517.265689348,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,92173.619959321,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,-185699.046707346,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,-191240.225770707,1,NaN,NaN
57600,1,1,1,1,1,-42093.8049668969,0,-312500,-0.00517529336502776,1,1,-152837.845542706,1,NaN,NaN
61200,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,-159113.559104041,1,NaN,NaN
64800,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,-190553.36156608,1,NaN,NaN
68400,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,188500.471767253,1,NaN,NaN
72000,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,74562.299480751,1,NaN,NaN
75600,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,-125461.667185916,1,NaN,NaN
79200,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,-270807.173852582,1,NaN,NaN
82800,1,1,1,1,1,127806.253658491,0,139490.563247818,-0,1,1,-389815.481455888,1,NaN,NaN
