Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,-461361.846141007,1,57600,39600
3600,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,-461861.946141007,1,68400,39600
7200,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,-462220.726141007,1,68400,46800
10800,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,-462357.226141007,1,61200,46800
14400,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,-447460.866141007,1,61200,43200
18000,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,-344903.890934395,1,61200,36000
21600,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,173586.879020758,1,54000,46800
25200,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,599246.471307259,1,54000,39600
28800,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,612925.812354091,1,NaN,NaN
32400,1,1,1,1,1,-0,0,60127.4888872673,-0,1,1,327665.102877508,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-0,1,1,201126.355274202,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0.000921714545256691,1,1,174948.304581958,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,165759.861940868,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,194154.116210842,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,171078.589544175,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,195165.170480813,1,NaN,NaN
57600,1,1,1,1,1,-0,0,-287873.490826991,-0,1,1,212520.545533522,1,NaN,NaN
61200,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,221914.73714748,1,NaN,NaN
64800,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,-43181.0853145596,1,NaN,NaN
68400,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,80068.6080187737,1,NaN,NaN
72000,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,-32536.0642677284,1,NaN,NaN
75600,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,-227352.390934395,1,NaN,NaN
79200,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,-371661.697601062,1,NaN,NaN
82800,1,1,1,1,1,125000,0,140183.066789177,-0,1,1,-491887.625204367,1,NaN,NaN
