Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,134755.172242876,0,143394.209080725,-0,1,1,-398017.474423909,1,50400,50400
3600,1,1,1,1,1,134755.172242876,0,143394.209080725,-0,1,1,-399301.274423909,1,64800,25200
7200,1,1,1,1,1,134755.172242876,0,143394.209080725,-0,1,1,-399332.274423909,1,50400,36000
10800,1,1,1,1,1,134755.172242876,0,143394.209080725,-0,1,1,-399873.274423909,1,50400,28800
14400,1,1,1,1,1,134755.172242876,0,143394.209080725,-0,1,1,-400631.074423909,1,61200,50400
18000,1,1,1,1,1,134755.172242876,0,143394.209080725,-0,1,1,-374412.499217297,1,50400,43200
21600,1,1,1,1,1,134755.172242876,0,143394.209080725,-0,1,1,144531.070737856,1,64800,39600
25200,1,1,1,1,1,134755.172242876,0,143394.209080725,-0,1,1,570563.663024357,1,64800,36000
28800,1,1,1,1,1,134755.172242876,0,143394.209080725,-0,1,1,586464.804071189,1,NaN,NaN
32400,1,1,1,1,1,-0,0,36586.8638872673,-0,1,1,325527.054594606,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-0,1,1,205786.334991299,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,226092.657377341,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,180824.827657966,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,174976.627927939,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,141596.981261272,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,135885.762197911,1,NaN,NaN
57600,1,1,1,1,1,-109242.240826991,0,-312500,-0.0010273958396283,1,1,159526.538278015,1,NaN,NaN
61200,1,1,1,1,1,97669.8292639238,0,143394.209080725,-0,1,1,213384.608864577,1,NaN,NaN
64800,1,1,1,1,1,134755.172242876,0,143394.209080725,-0,1,1,-52510.433597462,1,NaN,NaN
68400,1,1,1,1,1,134755.172242876,0,143394.209080725,-0,1,1,70608.6397358713,1,NaN,NaN
72000,1,1,1,1,1,134755.172242876,0,143394.209080725,-0,1,1,-41975.4925506308,1,NaN,NaN
75600,1,1,1,1,1,134755.172242876,0,143394.209080725,-0,1,1,-236823.139217297,1,NaN,NaN
79200,1,1,1,1,1,134755.172242876,0,143394.209080725,-0,1,1,-381182.545883964,1,NaN,NaN
82800,1,1,1,1,1,134755.172242876,0,143394.209080725,-0,1,1,-501437.47348727,1,NaN,NaN
