Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,-404277.223949726,1,61200,43200
3600,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,-404636.303949726,1,54000,25200
7200,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,-404768.063949726,1,64800,46800
10800,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,-404906.043949726,1,50400,50400
14400,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,-405084.623949726,1,54000,43200
18000,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,-348265.068743114,1,50400,46800
21600,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,232002.501212039,1,50400,43200
25200,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,655619.89349854,1,64800,36000
28800,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,669279.034545372,1,NaN,NaN
32400,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,381947.265068789,1,NaN,NaN
36000,1,1,1,1,1,-0,0,70935.0101849855,-0,1,1,249251.617465483,1,NaN,NaN
39600,1,1,1,1,1,-0,0,3268.97484859457,-0,1,1,191255.325851524,1,NaN,NaN
43200,1,1,1,1,1,-282230.900945493,0,-312500,-0,1,1,163101.684132149,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,32861.4384021224,1,NaN,NaN
50400,1,1,1,1,1,-205961.571785741,0,-312500,-0.00701766667771153,1,1,-252865.221246878,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,16113.592672094,1,NaN,NaN
57600,1,1,1,1,1,-0,0,-175537.553326991,-0,1,1,68779.9677248024,1,NaN,NaN
61200,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,285152.479338761,1,NaN,NaN
64800,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,17215.6968767212,1,NaN,NaN
68400,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,137047.010210055,1,NaN,NaN
72000,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,24245.0179235524,1,NaN,NaN
75600,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,-169833.448743114,1,NaN,NaN
79200,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,-314103.955409781,1,NaN,NaN
82800,1,1,1,1,1,69574.529552483,0,84458.3479920402,-0,1,1,-434542.223013087,1,NaN,NaN
