Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,-432502.650599431,1,68400,50400
3600,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,-436669.250599431,1,61200,32400
7200,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,-438570.050599432,1,61200,43200
10800,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,-438791.850599431,1,68400,28800
14400,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,-440351.050599432,1,64800,25200
18000,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,-414454.47539282,1,61200,43200
21600,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,104312.094562333,1,54000,39600
25200,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,530016.286848834,1,54000,36000
28800,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,545127.627895666,1,NaN,NaN
32400,1,1,1,1,1,-0,0,129266.551387267,-0,1,1,321765.498419083,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-0,1,1,198805.610815777,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,256997.519201819,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,203766.277482443,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,198472.831752417,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,180940.16508575,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,186557.386022388,1,NaN,NaN
57600,1,1,1,1,1,-87804.7408269914,0,-312500,-6.36580604123083e-05,1,1,175495.111138755,1,NaN,NaN
61200,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,239509.252689055,1,NaN,NaN
64800,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,-29558.5497729846,1,NaN,NaN
68400,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,96685.9835603489,1,NaN,NaN
72000,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,-15411.6087261534,1,NaN,NaN
75600,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,-211828.27539282,1,NaN,NaN
79200,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,-357252.742059487,1,NaN,NaN
82800,1,1,1,1,1,130853.64937433,0,137215.563212521,-0,1,1,-478624.829662792,1,NaN,NaN
