Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,-0,0,-0,-0,1,1,-16112.6027919065,1,57600,50400
3600,1,1,1,1,1,-0,0,-0,-0,1,1,-16226.4394585732,1,NaN,NaN
7200,1,1,1,1,1,-0,0,-0,-0,1,1,-16422.4027919065,1,NaN,NaN
10800,1,1,1,1,1,-0,0,-0,-0,1,1,83189.6972080935,1,NaN,NaN
14400,1,1,1,1,1,-0,0,-0,-0,1,1,102276.117208093,1,NaN,NaN
18000,1,1,1,1,1,-0,0,-0,-0,1,1,100690.760541427,1,NaN,NaN
21600,1,1,1,1,1,-0,0,-0,-0,1,1,99335.3038747602,1,NaN,NaN
25200,1,1,1,1,1,-0,0,-0,-0,1,1,-20663.1447919065,1,NaN,NaN
28800,1,1,1,1,1,-0,0,-0,-0,1,1,-21353.4961252398,1,NaN,NaN
32400,1,1,1,1,1,-0,0,-0,-0,1,1,-27160.7394585732,1,NaN,NaN
36000,1,1,1,1,1,-0,0,-0,-0,1,1,-35460.6161252398,1,NaN,NaN
39600,1,1,1,1,1,-0,0,-0,-0.000399601236495073,1,1,-46172.2557256386,1,NaN,NaN
43200,1,1,1,1,1,-0,0,-0,-0,1,1,-38978.0961252398,1,NaN,NaN
46800,1,1,1,1,1,-0,0,-0,-0,1,1,-18359.4967919065,1,NaN,NaN
50400,1,1,1,1,1,-0,0,-0,-0,1,1,-15135.8961252398,1,NaN,NaN
54000,1,1,1,1,1,-0,0,-0,-0,1,1,-14496.7561252398,1,NaN,NaN
57600,1,1,1,1,1,-0,0,-0,-0,1,1,-14811.5761252398,1,NaN,NaN
61200,1,1,1,1,1,-0,0,-0,-0,1,1,-14848.0327919065,1,NaN,NaN
64800,1,1,1,1,1,-0,0,-0,-0,1,1,-14734.4161252398,1,NaN,NaN
68400,1,1,1,1,1,-0,0,-0,-0,1,1,-15564.0527919065,1,NaN,NaN
72000,1,1,1,1,1,-0,0,-0,-0,1,1,-16024.6361252398,1,NaN,NaN
75600,1,1,1,1,1,-0,0,-0,-0,1,1,-16058.5194585732,1,NaN,NaN
79200,1,1,1,1,1,-0,0,-0,-0,1,1,-16533.7794585732,1,NaN,NaN
82800,1,1,1,1,1,-0,0,-0,-0,1,1,3137.5572080935,1,NaN,NaN
