Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,0,0,0,1,-391730,1,62750,1,57600,50400
3600,1,1,1,1,1,-392127,0,0,1,0,1,62750,1,68400,50400
7200,1,1,1,1,1,-768638.7718,0,373500,1,0,1,62750,1,64800,28800
10800,1,1,1,1,1,-563200,0,376300,1,-200000,1,62750,1,68400,50400
14400,1,1,1,1,1,-778789.0843,0,370700,1,0,1,62750,1,61200,50400
18000,1,1,1,1,1,-17245.14385,0,-500,1,-387000,1,89092.97521,1,50400,36000
21600,1,1,1,1,1,0,0,0,1,-487660,1,608333.3452,1,68400,46800
25200,1,1,1,1,1,0,0,-514648.5326,1,0,1,1032778.937,1,68400,28800
28800,1,1,1,1,1,0,0,-272920.666,1,0,1,1047916.678,1,NaN,NaN
32400,1,1,1,1,1,477491.2611,0,0.198598977,1,0,1,857735.549,1,NaN,NaN
36000,1,1,1,1,1,1103960.302,0,0,1,0,1,744064.0614,1,NaN,NaN
39600,1,1,1,1,1,725245.0877,0,0,1,0,1,763975.7698,1,NaN,NaN
43200,1,1,1,1,1,860687.1509,0,0,1,0,1,718980.7281,1,NaN,NaN
46800,1,1,1,1,1,423844.8318,0,0,1,0,1,719568.8824,1,NaN,NaN
50400,1,1,1,1,1,0,0,910680.3196,1,0,1,694402.2157,1,NaN,NaN
54000,1,1,1,1,1,-651628.6338,0,81888.68037,1,0,1,720157.0366,1,NaN,NaN
57600,1,1,1,1,1,0,0,999703.1783,1,0,1,765235.4117,1,NaN,NaN
61200,1,1,1,1,1,114518.7742,0,-3.178326991,1,0,1,745323.7033,1,NaN,NaN
64800,1,1,1,1,1,0,0,-337516.7562,1,0,1,475871.9008,1,NaN,NaN
68400,1,1,1,1,1,0,0,-465600.0286,1,0,1,601455.2342,1,NaN,NaN
72000,1,1,1,1,1,0,0,-512742.0297,1,0,1,491009.6419,1,NaN,NaN
75600,1,1,1,1,1,0,0,-508746.0442,1,0,1,296342.9752,1,NaN,NaN
79200,1,1,1,1,1,-10454.05244,0,-500095.1412,1,0,1,151926.3085,1,NaN,NaN
82800,1,1,1,1,1,-523664.7217,0,0,1,-22900,1,32040,1,NaN,NaN
