Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,145165.023437585,0,155782.12573746,-0,1,1,-437750.267910594,1,54000,28800
3600,1,1,1,1,1,145165.023437585,0,155782.12573746,-0,1,1,-438329.667910594,1,57600,28800
7200,1,1,1,1,1,145165.023437585,0,155782.12573746,-0,1,1,-438458.467910594,1,57600,50400
10800,1,1,1,1,1,145165.023437585,0,155782.12573746,-0,1,1,-438813.267910594,1,68400,28800
14400,1,1,1,1,1,145165.023437585,0,155782.12573746,-0,1,1,-439482.667910594,1,50400,25200
18000,1,1,1,1,1,145165.023437585,0,155782.12573746,-0,1,1,-413616.892703983,1,68400,39600
21600,1,1,1,1,1,145165.023437585,0,155782.12573746,-0,1,1,104896.47725117,1,61200,50400
25200,1,1,1,1,1,145165.023437585,0,155782.12573746,-0,1,1,529610.069537671,1,57600,43200
28800,1,1,1,1,1,145165.023437585,0,155782.12573746,-0,1,1,543947.410584504,1,NaN,NaN
32400,1,1,1,1,1,-0,0,-149231.886112733,-0,1,1,349622.281107921,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-0,1,1,238158.593504614,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,203920.963890656,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,158219.160171281,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,159652.674441254,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,131825.187774587,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,154467.068711226,1,NaN,NaN
57600,1,1,1,1,1,-195045.365826991,0,-312500,-0.000208258647035109,1,1,196898.763972193,1,NaN,NaN
61200,1,1,1,1,1,37735.0376071889,0,155782.12573746,-0,1,1,183973.815377892,1,NaN,NaN
64800,1,1,1,1,1,145165.023437585,0,155782.12573746,-0,1,1,-46136.9670841472,1,NaN,NaN
68400,1,1,1,1,1,145165.023437585,0,155782.12573746,-0,1,1,142938.566249186,1,NaN,NaN
72000,1,1,1,1,1,145165.023437585,0,155782.12573746,-0,1,1,30718.773962684,1,NaN,NaN
75600,1,1,1,1,1,145165.023437585,0,155782.12573746,-0,1,1,-166502.092703983,1,NaN,NaN
79200,1,1,1,1,1,145165.023437585,0,155782.12573746,-0,1,1,-312259.159370649,1,NaN,NaN
82800,1,1,1,1,1,145165.023437585,0,155782.12573746,-0,1,1,-432751.046973955,1,NaN,NaN
