Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,-0,0,231782.600308908,-0,1,1,-419956.107106005,1,57600,28800
3600,1,1,1,1,1,-0,0,18847.6007992681,-0,1,1,-420138.607106005,1,68400,28800
7200,1,1,1,1,1,-809.023470425585,0,-123124.079706031,-0,1,1,-420339.867106005,1,57600,36000
10800,1,1,1,1,1,-60873.1482934672,0,-123124.079706031,-0,1,1,-324167.787106005,1,50400,25200
14400,1,1,1,1,1,-60873.1482934672,0,-123124.079706031,-0,1,1,-325850.587106005,1,64800,50400
18000,1,1,1,1,1,-60873.1482934672,0,-123124.079706031,-0,1,1,-300789.811899393,1,57600,50400
21600,1,1,1,1,1,-60873.1482934672,0,-123124.079706031,-0,1,1,217512.35805576,1,54000,36000
25200,1,1,1,1,1,-0,0,-107401.467391391,-0,1,1,640228.35034226,1,57600,36000
28800,1,1,1,1,1,-0,0,186269.353490369,-0,1,1,655124.691389093,1,NaN,NaN
32400,1,1,1,1,1,-0,0,2236.8638872673,-0,1,1,367697.90191251,1,NaN,NaN
36000,1,1,1,1,1,-0,0,-21480.6148150145,-0,1,1,234796.874309203,1,NaN,NaN
39600,1,1,1,1,1,-60873.1482934672,0,-123124.079706031,-0,1,1,177979.782695245,1,NaN,NaN
43200,1,1,1,1,1,-60873.1482934672,0,-123124.079706031,-0,1,1,203914.54097587,1,NaN,NaN
46800,1,1,1,1,1,-60873.1482934672,0,-123124.079706031,-0,1,1,235392.337245843,1,NaN,NaN
50400,1,1,1,1,1,-60873.1482934672,0,-123124.079706031,-0,1,1,204676.008579176,1,NaN,NaN
54000,1,1,1,1,1,-60873.1482934672,0,-123124.079706031,-0,1,1,33418.4495158147,1,NaN,NaN
57600,1,1,1,1,1,-60873.1482934672,0,-123124.079706031,-0.00685787227121182,1,1,-178233.168573605,1,NaN,NaN
61200,1,1,1,1,1,-7099.38194932032,0,-123124.079706031,-0,1,1,-140698.883817519,1,NaN,NaN
64800,1,1,1,1,1,-60873.1482934672,0,-123124.079706031,-0,1,1,-48135.0862795581,1,NaN,NaN
68400,1,1,1,1,1,156567.216092077,0,312500,-0,1,1,126643.287053775,1,NaN,NaN
72000,1,1,1,1,1,200442.029747249,0,312500,-0,1,1,12498.6347672731,1,NaN,NaN
75600,1,1,1,1,1,37517.919235439,0,312500,-0,1,1,-186297.491899394,1,NaN,NaN
79200,1,1,1,1,1,199449.193615759,0,312500,-0,1,1,-330425.37856606,1,NaN,NaN
82800,1,1,1,1,1,167073.355599898,0,312500,-0,1,1,-449656.966169366,1,NaN,NaN
