Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,-0,0,-0,-0,1,1,57290.7407936502,1,68400,46800
3600,1,1,1,1,1,-0,0,-0,-0,1,1,56560.7241269835,1,NaN,NaN
7200,1,1,1,1,1,-0,0,-0,-0,1,1,55709.9207936502,1,NaN,NaN
10800,1,1,1,1,1,-0,0,-0,-0,1,1,55303.6807936502,1,NaN,NaN
14400,1,1,1,1,1,-0,0,-0,-0,1,1,54202.1007936502,1,NaN,NaN
18000,1,1,1,1,1,-0,0,-0,-0,1,1,52837.9441269835,1,NaN,NaN
21600,1,1,1,1,1,-0,0,-0,-0,1,1,52661.6874603168,1,NaN,NaN
25200,1,1,1,1,1,-0,0,-0,-0,1,1,51790.0907936502,1,NaN,NaN
28800,1,1,1,1,1,-0,0,-0,-0,1,1,-29691.0725396832,1,NaN,NaN
32400,1,1,1,1,1,-0,0,-0,-0,1,1,-40359.5558730165,1,NaN,NaN
36000,1,1,1,1,1,-0,0,-0,-0.000457725653177476,1,1,-54965.8520819575,1,NaN,NaN
39600,1,1,1,1,1,-0,0,-0,-0,1,1,-24406.9025396832,1,NaN,NaN
43200,1,1,1,1,1,-0,0,-0,-0,1,1,-28693.5525396832,1,NaN,NaN
46800,1,1,1,1,1,-0,0,-0,-0,1,1,-34407.5092063498,1,NaN,NaN
50400,1,1,1,1,1,-0,0,-0,-0,1,1,-32046.2525396832,1,NaN,NaN
54000,1,1,1,1,1,-0,0,-0,-0,1,1,-23158.2805396832,1,NaN,NaN
57600,1,1,1,1,1,-0,0,-0,-0,1,1,-18873.1125396832,1,NaN,NaN
61200,1,1,1,1,1,-0,0,-0,-0,1,1,-17732.1292063498,1,NaN,NaN
64800,1,1,1,1,1,-0,0,-0,-0,1,1,-19264.9925396832,1,NaN,NaN
68400,1,1,1,1,1,-0,0,-0,-0,1,1,-20697.8892063498,1,NaN,NaN
72000,1,1,1,1,1,-0,0,-0,-0,1,1,-20818.9525396832,1,NaN,NaN
75600,1,1,1,1,1,-0,0,-0,-0,1,1,-20639.4358730165,1,NaN,NaN
79200,1,1,1,1,1,-0,0,-0,-0,1,1,-21165.7958730165,1,NaN,NaN
82800,1,1,1,1,1,-0,0,-0,-0,1,1,-1580.45920634983,1,NaN,NaN
