Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,-0,0,-118590.837191092,-0,1,1,-360207.737464159,1,54000,28800
3600,1,1,1,1,1,-0,0,-59014.8992007319,-0,1,1,-360480.957464159,1,54000,32400
7200,1,1,1,1,1,63588.8352278913,0,118224.936595652,-0,1,1,-360682.357464159,1,61200,46800
10800,1,1,1,1,1,83680.3521233378,0,118224.936595652,-0,1,1,-360874.277464159,1,57600,32400
14400,1,1,1,1,1,83680.3521233378,0,118224.936595652,-0,1,1,-361075.537464159,1,57600,46800
18000,1,1,1,1,1,83680.3521233378,0,118224.936595652,-0,1,1,-334917.922257547,1,64800,28800
21600,1,1,1,1,1,83680.3521233378,0,118224.936595652,-0,1,1,231370.787697605,1,61200,50400
25200,1,1,1,1,1,83680.3521233378,0,118224.936595652,-0,1,1,702066.379984107,1,61200,32400
28800,1,1,1,1,1,83680.3521233378,0,118224.936595652,-0,1,1,715823.521030939,1,NaN,NaN
32400,1,1,1,1,1,-0,0,2355.6138872673,-0,1,1,426058.591554356,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-0,1,1,292041.503951049,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,237538.012337091,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,202903.370617716,1,NaN,NaN
46800,1,1,1,1,1,-104162.019320829,0,-312500,-0,1,1,6363.72488768899,1,NaN,NaN
50400,1,1,1,1,1,-151611.569632678,0,-312500,-0,1,1,-214446.941778978,1,NaN,NaN
54000,1,1,1,1,1,-0,0,-35806.8771208011,-0,1,1,-191676.120842339,1,NaN,NaN
57600,1,1,1,1,1,83680.3521233378,0,118224.936595652,-0.0060255934658926,1,1,-147271.739764037,1,NaN,NaN
61200,1,1,1,1,1,83680.3521233378,0,118224.936595652,-0,1,1,-29747.4541756726,1,NaN,NaN
64800,1,1,1,1,1,83680.3521233378,0,118224.936595652,-0,1,1,64414.0633622879,1,NaN,NaN
68400,1,1,1,1,1,83680.3521233378,0,118224.936595652,-0,1,1,187690.476695621,1,NaN,NaN
72000,1,1,1,1,1,83680.3521233378,0,118224.936595652,-0,1,1,69007.2644091191,1,NaN,NaN
75600,1,1,1,1,1,83680.3521233378,0,118224.936595652,-0,1,1,-127828.162257548,1,NaN,NaN
79200,1,1,1,1,1,83680.3521233378,0,118224.936595652,-0,1,1,-270895.248924214,1,NaN,NaN
82800,1,1,1,1,1,83680.3521233378,0,118224.936595652,-0,1,1,-390554.15652752,1,NaN,NaN
