Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,-0,0,-0,-0,1,1,5492.85660973515,1,68400,36000
3600,1,1,1,1,1,-0,0,-0,-0,1,1,5096.57994306848,1,NaN,NaN
7200,1,1,1,1,1,-0,0,-0,-0,1,1,4639.75660973515,1,NaN,NaN
10800,1,1,1,1,1,-0,0,-0,-0,1,1,4881.09660973515,1,NaN,NaN
14400,1,1,1,1,1,-0,0,-0,-0,1,1,83425.6566097351,1,NaN,NaN
18000,1,1,1,1,1,-0,0,-0,-0,1,1,121824.099943068,1,NaN,NaN
21600,1,1,1,1,1,-0,0,-0,-3493.2799587215,1,1,-1651.03676487668,1,NaN,NaN
25200,1,1,1,1,1,-0,0,-0,-15170.6999587215,1,1,-13367.6534315433,1,NaN,NaN
28800,1,1,1,1,1,-0,0,-0,-124706.999958721,1,1,-122864.756764877,1,NaN,NaN
32400,1,1,1,1,1,-0,0,-0,-802073.999958721,1,1,-800192.56009821,1,NaN,NaN
36000,1,1,1,1,1,-0,0,-0,-678322.999958721,1,1,-677186.296764877,1,NaN,NaN
39600,1,1,1,1,1,-0,0,-0,-683549.999958721,1,1,-682178.116764877,1,NaN,NaN
43200,1,1,1,1,1,-0,0,-0,-672780.999958721,1,1,-671644.296764877,1,NaN,NaN
46800,1,1,1,1,1,-0,0,-0,-688389.999958721,1,1,-687057.313431543,1,NaN,NaN
50400,1,1,1,1,1,-0,0,-0,-673323.999958721,1,1,-671716.936764877,1,NaN,NaN
54000,1,1,1,1,1,-0,0,-0,-583356.999958721,1,1,-581985.116764877,1,NaN,NaN
57600,1,1,1,1,1,-0,0,-0,-372684.999958722,1,1,-371548.296764877,1,NaN,NaN
61200,1,1,1,1,1,-0,0,-0,-242269.999958722,1,1,-241172.493431543,1,NaN,NaN
64800,1,1,1,1,1,-0,0,-0,-198043.999958722,1,1,-196672.116764877,1,NaN,NaN
68400,1,1,1,1,1,-0,0,-0,-0,1,1,18361.5266097352,1,NaN,NaN
72000,1,1,1,1,1,-0,0,-0,-0,1,1,14049.0032764018,1,NaN,NaN
75600,1,1,1,1,1,-0,0,-0,-0,1,1,6899.41994306848,1,NaN,NaN
79200,1,1,1,1,1,-0,0,-0,-0,1,1,4187.95994306848,1,NaN,NaN
82800,1,1,1,1,1,-0,0,-0,-0,1,1,5181.23660973515,1,NaN,NaN
