Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,59624.3298599025,0,280719.207949005,-0,1,1,-380526.435923417,1,54000,32400
3600,1,1,1,1,1,49065.892850263,0,280719.207949005,-0,1,1,-380962.675923417,1,61200,46800
7200,1,1,1,1,1,46328.9388745385,0,280719.207949005,-0,1,1,-381342.815923417,1,54000,28800
10800,1,1,1,1,1,-0,0,275622.913299268,-0,1,1,-381588.175923417,1,64800,43200
14400,1,1,1,1,1,51799.5638745385,0,280719.207949005,-0,1,1,-381780.135923417,1,64800,43200
18000,1,1,1,1,1,130228.51624124,0,280719.207949005,-0,1,1,-355618.060716806,1,61200,46800
21600,1,1,1,1,1,125658.048724469,0,280719.207949005,-0,1,1,163020.169238347,1,54000,46800
25200,1,1,1,1,1,86309.0121596038,0,280719.207949005,-0,1,1,587090.047524848,1,64800,32400
28800,1,1,1,1,1,-0,0,166144.353490369,-0,1,1,601824.212571681,1,NaN,NaN
32400,1,1,1,1,1,-113387.448029243,0,-312500,-0,1,1,388551.133095097,1,NaN,NaN
36000,1,1,1,1,1,-113387.448029243,0,-312500,-0,1,1,7570.64549179107,1,NaN,NaN
39600,1,1,1,1,1,-113387.448029243,0,-312500,-0,1,1,88328.3538778329,1,NaN,NaN
43200,1,1,1,1,1,-113387.448029243,0,-312500,-0.00457981915678829,1,1,-83822.683261723,1,NaN,NaN
46800,1,1,1,1,1,-113387.448029243,0,-312500,-0,1,1,283204.526428431,1,NaN,NaN
50400,1,1,1,1,1,-113387.448029243,0,-312500,-0,1,1,252525.039761764,1,NaN,NaN
54000,1,1,1,1,1,-113387.448029243,0,-312500,-0,1,1,272923.894298402,1,NaN,NaN
57600,1,1,1,1,1,-113387.448029243,0,-312500,-0,1,1,307845.555751111,1,NaN,NaN
61200,1,1,1,1,1,-113387.448029243,0,-312500,-0,1,1,168913.487365069,1,NaN,NaN
64800,1,1,1,1,1,-113387.448029243,0,-312500,-0,1,1,-205341.51509697,1,NaN,NaN
68400,1,1,1,1,1,-0,0,-123959.346407923,-0,1,1,-179402.181763637,1,NaN,NaN
72000,1,1,1,1,1,86844.6967982443,0,280719.207949005,-0,1,1,54914.9859498609,1,NaN,NaN
75600,1,1,1,1,1,208395.586286434,0,280719.207949005,-0,1,1,-140148.080716806,1,NaN,NaN
79200,1,1,1,1,1,218142.485666754,0,280719.207949005,-0,1,1,-290241.027383472,1,NaN,NaN
82800,1,1,1,1,1,202579.147650893,0,280719.207949005,-0,1,1,-412403.014986778,1,NaN,NaN
