Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,-402956.820372267,1,50400,25200
3600,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,-404466.020372267,1,64800,50400
7200,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,-406433.220372267,1,50400,50400
10800,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,-407617.620372267,1,61200,46800
14400,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,-408658.020372267,1,57600,25200
18000,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,-383136.245165656,1,64800,32400
21600,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,135502.724789497,1,64800,32400
25200,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,558558.317075998,1,68400,43200
28800,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,573556.258122831,1,NaN,NaN
32400,1,1,1,1,1,-0,0,122136.863887267,-0,1,1,382630.528646247,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-0,1,1,177873.597042941,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,283036.949428983,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,152902.081709608,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0.00011721945793397,1,1,145348.6620968,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,121327.215312914,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,155221.128249552,1,NaN,NaN
57600,1,1,1,1,1,-86117.2408269914,0,-312500,-0,1,1,200220.475302261,1,NaN,NaN
61200,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,180919.894916219,1,NaN,NaN
64800,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,-85870.0795458205,1,NaN,NaN
68400,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,39825.7737875129,1,NaN,NaN
72000,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,-71709.9184989893,1,NaN,NaN
75600,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,-202826.445165656,1,NaN,NaN
79200,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,-315873.911832323,1,NaN,NaN
82800,1,1,1,1,1,130741.149361711,0,137690.875737462,-0,1,1,-437707.399435628,1,NaN,NaN
