Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,-477834.771351101,1,54000,36000
3600,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,-478089.511351101,1,68400,28800
7200,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,-478272.791351101,1,57600,46800
10800,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,-478455.811351101,1,54000,28800
14400,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,-429662.491351101,1,68400,28800
18000,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,-355314.31614449,1,68400,28800
21600,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,163183.053810663,1,57600,28800
25200,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,585852.246097164,1,50400,36000
28800,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,599276.587143997,1,NaN,NaN
32400,1,1,1,1,1,-0,0,45913.4263872673,-0,1,1,366607.257667413,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-0,1,1,286324.570064107,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,311023.278450149,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,189687.296730774,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,173606.771000747,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,146855.48433408,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,166445.185270719,1,NaN,NaN
57600,1,1,1,1,1,-0,0,-219539.115826991,-0.000168122807735926,1,1,204077.66049155,1,NaN,NaN
61200,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,197790.771937385,1,NaN,NaN
64800,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,-58063.8105246542,1,NaN,NaN
68400,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,64972.6628086792,1,NaN,NaN
72000,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,-50240.889477823,1,NaN,NaN
75600,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,-245403.43614449,1,NaN,NaN
79200,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,-388899.462811156,1,NaN,NaN
82800,1,1,1,1,1,125000,0,136575.045959034,-0,1,1,-508765.930414462,1,NaN,NaN
