Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,-427293.181224887,1,68400,28800
3600,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,-427726.021224887,1,61200,32400
7200,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,-427843.121224887,1,57600,28800
10800,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,-427927.061224887,1,61200,28800
14400,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,-428071.321224887,1,57600,46800
18000,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,-325558.926018276,1,50400,39600
21600,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,206811.843936877,1,54000,39600
25200,1,1,1,1,1,-0,0,109707.907608609,-0,1,1,631997.436223378,1,50400,28800
28800,1,1,1,1,1,-0,0,50372.4784903693,-0,1,1,647101.977270211,1,NaN,NaN
32400,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,359176.647793627,1,NaN,NaN
36000,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,226021.760190321,1,NaN,NaN
39600,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,166569.268576363,1,NaN,NaN
43200,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,140034.226856988,1,NaN,NaN
46800,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,6462.38112696086,1,NaN,NaN
50400,1,1,1,1,1,-0,0,-7622.87553516217,-0.00488677638350055,1,1,-180314.28065293,1,NaN,NaN
54000,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,165175.735396932,1,NaN,NaN
57600,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,282248.970449641,1,NaN,NaN
61200,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,259437.962063599,1,NaN,NaN
64800,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,-13370.3603984403,1,NaN,NaN
68400,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,111892.992934893,1,NaN,NaN
72000,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,1780.54064839095,1,NaN,NaN
75600,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,-193155.666018276,1,NaN,NaN
79200,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,-338006.232684942,1,NaN,NaN
82800,1,1,1,1,1,-0,0,-7622.87553516217,-0,1,1,-458184.420288248,1,NaN,NaN
